INFO 2025-09-29 01:25:04,780 autoreload 37820 5096 Watching for file changes with StatReloader
WARNING 2025-09-29 01:25:13,738 log 37820 23964 Not Found: /
WARNING 2025-09-29 01:25:13,739 basehttp 37820 23964 "GET / HTTP/1.1" 404 2795
INFO 2025-09-29 01:25:21,926 basehttp 37820 23964 "GET /guests/create/ HTTP/1.1" 200 2745
INFO 2025-09-29 01:26:12,254 basehttp 37820 23964 "POST /guests/create/ HTTP/1.1" 302 0
INFO 2025-09-29 01:26:12,269 basehttp 37820 23964 "GET /guests/success/6d5c9620-0b00-4917-8b18-7b7b4001e38b/ HTTP/1.1" 200 789
INFO 2025-09-29 01:26:16,602 basehttp 37820 23964 "GET /invitations/create/ HTTP/1.1" 200 2995
INFO 2025-09-29 01:26:50,359 basehttp 37820 23964 "POST /invitations/create/ HTTP/1.1" 302 0
ERROR 2025-09-29 01:26:50,378 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:26:50,380 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
ERROR 2025-09-29 01:26:56,786 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:26:56,787 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
ERROR 2025-09-29 01:27:21,241 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:27:21,243 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
ERROR 2025-09-29 01:29:04,772 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:29:04,772 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
ERROR 2025-09-29 01:29:06,085 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:29:06,086 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
ERROR 2025-09-29 01:29:06,355 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:29:06,356 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
ERROR 2025-09-29 01:30:14,949 views 37820 23964 Erro ao carregar convite 7ed4dd1e-e08d-46e8-9da9-d5217645ec7a: Invalid filter: 'json_script_safe'
INFO 2025-09-29 01:30:14,950 basehttp 37820 23964 "GET /invitations/detail/7ed4dd1e-e08d-46e8-9da9-d5217645ec7a/ HTTP/1.1" 200 2286
... (log archived for brevity) ...

